Piece Mark,Pipe Length (Quantity),WLD % All (scaled),% Entry (computed),Shipped
LP1Y-ACNDMSO-110604-06-2,8.44,0.0,0.0,N
LP1Y-ACNDMSO-110604-07-1,0,0.0,0.0,N
LP1Y-ACNDMSO-110604-07-2,1.0,0.0,0.0,N
LP1Y-ACNDMSO-110604-07-3,3.85,0.0,0.0,N
LP1Y-ACNDMSO-110604-07-4,1.67,0.0,0.0,N
LP1Y-ACNDMSO-110605-01-1,12.28,0.0,0.0,N
LP1Y-ACNDMSO-110605-03-1,7.31,0.0,0.0,N
LP1Y-ACNDMSO-110605-03-2,0.5,0.0,0.0,N
LP1Y-ACNDMSO-110605-03-3,23.61,0.0,0.0,N
LP1Y-ACNDMSO-110605-03-3-L1,0,0.0,0.0,N
LP1Y-ACNDMSO-110605-04-1,0,0.0,0.0,N
LP1Y-ACNDMSO-110605-04-2,1.23,0.0,0.0,N
LP1Y-ACNDMSO-110605-04-3,2.15,0.0,0.0,N
LP1Y-ACNDMSO-110605-04-4,1.99,0.0,0.0,N
LP1Y-ACNDMSO-110610-01-1,30.29,0.0,0.0,N
LP1Y-ACNDMSO-110610-02-1,0,0.0,0.0,N
LP1Y-ACNDMSO-110610-02-2,3.22,0.0,0.0,N
LP1Y-ACNDMSO-110610-02-3,18.49,0.0,0.0,N
LP1Y-ACNDMSO-110803-01-1,0,0.0,0.0,N
LP1Y-ACNDMSO-110803-01-2,15.14,0.0,0.0,N
LP1Y-ACNDMSO-110803-01-3,4.84,0.0,0.0,N
LP1Y-ACNDMSO-110803-02-1,0,0.0,0.0,N
LP1Y-ACNDMSO-110803-02-2,2.18,0.0,0.0,N
LP1Y-ACNDMSO-110803-02-3,8.08,0.0,0.0,N
LP1Y-ACNDMSO-110805-01-1,0,0.0,0.0,N
LP1Y-ACNDMSO-110805-01-2,0.79,0.0,0.0,N
LP1Y-ACNDMSO-110805-01-3,2.0,0.0,0.0,N
LP1Y-ACNDMSO-110805-01-4,1.84,0.0,0.0,N
LP1Y-ACNDMSO-110805-02-1,2.96,0.0,0.0,N
LP1Y-ACNDMSO-110805-02-2,5.38,0.0,0.0,N
LP1Y-ACNDMSO-110805-03-1,5.07,0.0,0.0,N
LP1Y-ACNDMSO-110805-03-2,11.79,0.0,0.0,N
LP1Y-ACNDMSO-110805-05-1,13.91,0.0,0.0,N
